__dir__,__implementation__,__variant__,__nist-level__,__target__,__length-secret-key__,__length-public-key__,__random-bytes__,__length-signature__,__namespace__,__nistkat-sha256__,__testvectors-sha256__
cross-rsdp-128-balanced,clean,RSDP,1,BALANCED,32,77,16,12912,PQCLEAN_CROSSRSDP128BALANCED_CLEAN_,854a7564ebe520b38e54d9cf03a38c232cdf07cd285946a509238c0735385098,ea0b6ab8163d2935e70ffd1eeced406990eb0c01bf031135fe4ccb9b4a7caab0
cross-rsdp-128-fast,clean,RSDP,1,SPEED,32,77,16,19152,PQCLEAN_CROSSRSDP128FAST_CLEAN_,581b5231de105e04f47212269ba6dd072419c13eee6666300cb28e5a03328878,2100f74d2a05238282798046fd16bce4cac6054c2d4d05b4ff5fdb96327dd28f
cross-rsdp-128-small,clean,RSDP,1,SIG_SIZE,32,77,16,10080,PQCLEAN_CROSSRSDP128SMALL_CLEAN_,f7c7d36bd8e04fd3db7689a603d6dd77f397d16af468c91cbafe874ce79fd971,3c2965708233f66ac9a6df5adffa6514e9333bae50753c9f9d8a6b69f9a23f79
cross-rsdp-192-balanced,clean,RSDP,3,BALANCED,48,115,24,28222,PQCLEAN_CROSSRSDP192BALANCED_CLEAN_,ee9ab0eb6340a97092a46d569c562ee71eb0eb4892247e379121d1f23c743229,f67e05af51846d7a153cb06136be9b5c7d9285f42a7f023453d3409b33a79458
cross-rsdp-192-fast,clean,RSDP,3,SPEED,48,115,24,42682,PQCLEAN_CROSSRSDP192FAST_CLEAN_,d2a07434d739dad47b96eb75b7ea9d68131c6104a514f8092b2eebfda0e44ead,0220dea1b83ecfaf98ffa48e0d2fcb234ef791e0cc01779e7e08a087d63ddf82
cross-rsdp-192-small,clean,RSDP,3,SIG_SIZE,48,115,24,23642,PQCLEAN_CROSSRSDP192SMALL_CLEAN_,51b4653b0a087ed47e3c2978bb8dcb660d1ce20a0b72f20591de24990b527699,364a5291cdc064c8215c38a53bdd2f4242f085b23a4852643de04f620fabfae6
cross-rsdp-256-balanced,clean,RSDP,5,BALANCED,64,153,32,51056,PQCLEAN_CROSSRSDP256BALANCED_CLEAN_,dcfcd71d29e0786bd3848e34d401555ac51628651b036517783fac68da18f5b0,7c7238bf14c77ff7108b96406495f2e9b4482cac340b2142e3381856faeccf8f
cross-rsdp-256-fast,clean,RSDP,5,SPEED,64,153,32,76298,PQCLEAN_CROSSRSDP256FAST_CLEAN_,1e3dfeb626818a859841c02ea235febe6b89f14a0bd1d58560256087a898f1f8,25057fa823e57e87dfca6ad3622188fefbc30f1812513a99b2d91092cbe671ec
cross-rsdp-256-small,clean,RSDP,5,SIG_SIZE,64,153,32,43592,PQCLEAN_CROSSRSDP256SMALL_CLEAN_,edbaa3ba93305ab8ba26026707a6268c7fc14fb8751cc925334858588ea70813,81a6e3da4d5ed4b8dbc795db4c913cd33038544fe9c46c4af79684c380cfac4d
cross-rsdp-128-balanced,avx2,RSDP,1,BALANCED,32,77,16,12912,PQCLEAN_CROSSRSDP128BALANCED_AVX2_,854a7564ebe520b38e54d9cf03a38c232cdf07cd285946a509238c0735385098,ea0b6ab8163d2935e70ffd1eeced406990eb0c01bf031135fe4ccb9b4a7caab0
cross-rsdp-128-fast,avx2,RSDP,1,SPEED,32,77,16,19152,PQCLEAN_CROSSRSDP128FAST_AVX2_,581b5231de105e04f47212269ba6dd072419c13eee6666300cb28e5a03328878,2100f74d2a05238282798046fd16bce4cac6054c2d4d05b4ff5fdb96327dd28f
cross-rsdp-128-small,avx2,RSDP,1,SIG_SIZE,32,77,16,10080,PQCLEAN_CROSSRSDP128SMALL_AVX2_,f7c7d36bd8e04fd3db7689a603d6dd77f397d16af468c91cbafe874ce79fd971,3c2965708233f66ac9a6df5adffa6514e9333bae50753c9f9d8a6b69f9a23f79
cross-rsdp-192-balanced,avx2,RSDP,3,BALANCED,48,115,24,28222,PQCLEAN_CROSSRSDP192BALANCED_AVX2_,ee9ab0eb6340a97092a46d569c562ee71eb0eb4892247e379121d1f23c743229,f67e05af51846d7a153cb06136be9b5c7d9285f42a7f023453d3409b33a79458
cross-rsdp-192-fast,avx2,RSDP,3,SPEED,48,115,24,42682,PQCLEAN_CROSSRSDP192FAST_AVX2_,d2a07434d739dad47b96eb75b7ea9d68131c6104a514f8092b2eebfda0e44ead,0220dea1b83ecfaf98ffa48e0d2fcb234ef791e0cc01779e7e08a087d63ddf82
cross-rsdp-192-small,avx2,RSDP,3,SIG_SIZE,48,115,24,23642,PQCLEAN_CROSSRSDP192SMALL_AVX2_,51b4653b0a087ed47e3c2978bb8dcb660d1ce20a0b72f20591de24990b527699,364a5291cdc064c8215c38a53bdd2f4242f085b23a4852643de04f620fabfae6
cross-rsdp-256-balanced,avx2,RSDP,5,BALANCED,64,153,32,51056,PQCLEAN_CROSSRSDP256BALANCED_AVX2_,dcfcd71d29e0786bd3848e34d401555ac51628651b036517783fac68da18f5b0,7c7238bf14c77ff7108b96406495f2e9b4482cac340b2142e3381856faeccf8f
cross-rsdp-256-fast,avx2,RSDP,5,SPEED,64,153,32,76298,PQCLEAN_CROSSRSDP256FAST_AVX2_,1e3dfeb626818a859841c02ea235febe6b89f14a0bd1d58560256087a898f1f8,25057fa823e57e87dfca6ad3622188fefbc30f1812513a99b2d91092cbe671ec
